HR,EDA,TEMP,ACC_X,ACC_Y,ACC_Z,BVP,IBI,label
121,0.36,36.2,-0.02,0.01,0.07,0.81,0.74,stress
99,0.62,37.1,-0.06,-0.07,0.01,0.73,0.82,stress
112,0.38,36.3,-0.0,0.08,0.03,0.8,0.71,stress
83,0.68,36.2,-0.06,-0.02,0.03,0.9,0.94,stress
85,0.5,36.6,-0.07,0.07,0.06,0.72,0.72,stress
119,0.14,37.2,0.02,0.06,-0.03,0.76,0.81,stress
100,0.13,37.1,0.0,0.02,0.05,0.81,0.83,no_stress
88,0.19,36.1,0.03,-0.0,0.01,0.99,0.95,stress
74,0.11,36.7,0.09,0.1,0.06,0.94,0.74,stress
104,0.15,36.8,0.01,-0.07,0.1,0.92,0.73,stress
124,0.58,37.0,0.02,0.05,-0.06,0.73,0.7,stress
68,0.47,37.0,-0.08,-0.06,0.1,0.93,0.74,stress
60,0.62,36.5,0.04,-0.03,-0.08,0.94,0.75,stress
67,0.74,36.8,-0.02,-0.04,-0.1,0.88,0.86,stress
122,0.51,36.7,0.1,0.09,-0.09,1.0,0.75,stress
70,0.61,37.3,0.06,0.09,-0.03,0.8,0.71,stress
67,0.63,36.8,0.0,-0.06,0.03,0.98,0.91,stress
94,0.36,36.7,-0.08,-0.1,-0.09,0.97,0.79,stress
94,0.27,36.6,0.07,0.04,-0.1,0.7,0.79,stress
92,0.24,36.9,0.06,-0.02,0.09,0.84,0.78,stress
64,0.28,37.2,-0.06,-0.08,0.06,0.99,0.94,stress
100,0.29,36.8,-0.04,0.04,0.06,0.73,0.74,stress
87,0.25,37.0,0.06,0.01,0.08,0.86,0.92,no_stress
66,0.71,37.1,-0.06,0.1,0.04,0.99,0.89,stress
71,0.63,36.8,0.08,-0.05,-0.08,0.87,0.72,stress
93,0.13,36.6,-0.02,-0.02,-0.02,0.76,0.95,no_stress
92,0.29,37.3,-0.08,0.01,0.04,0.87,0.77,stress
107,0.12,36.6,0.06,0.06,-0.04,0.76,0.72,stress
82,0.45,36.7,-0.03,0.01,0.04,0.86,0.91,no_stress
121,0.43,37.5,0.01,0.02,-0.1,0.72,0.88,stress
96,0.68,36.0,-0.08,-0.05,-0.04,0.88,0.85,stress
103,0.32,36.3,-0.1,0.07,0.01,0.86,0.74,stress
94,0.67,36.6,0.03,-0.01,0.03,0.92,0.82,stress
124,0.78,37.4,0.0,-0.07,0.02,0.89,0.9,stress
106,0.16,36.1,0.02,0.03,0.04,0.86,0.78,stress
62,0.65,36.0,0.06,-0.06,-0.1,0.91,0.78,stress
60,0.51,36.1,0.03,-0.08,-0.08,0.74,0.7,stress
64,0.44,36.1,-0.07,0.07,0.07,0.88,0.74,stress
73,0.39,36.1,-0.03,-0.01,0.04,0.75,0.92,no_stress
86,0.65,36.7,0.08,0.05,-0.08,0.98,0.81,stress
68,0.55,36.9,0.05,-0.04,0.07,0.72,0.95,stress
74,0.66,36.4,0.01,0.06,-0.05,0.83,0.8,stress
101,0.73,36.6,-0.05,-0.08,-0.0,0.91,0.88,stress
110,0.53,36.1,-0.04,-0.03,-0.07,0.84,0.77,stress
122,0.79,36.5,0.05,0.1,0.04,0.73,0.79,stress
111,0.53,36.8,0.07,0.06,0.03,0.87,0.75,stress
63,0.55,37.1,0.03,-0.0,-0.06,0.89,0.79,stress
82,0.49,36.0,0.06,-0.03,0.07,0.91,0.84,no_stress
74,0.16,36.7,0.05,0.07,-0.02,0.81,0.95,no_stress
102,0.61,36.4,-0.07,0.01,-0.04,0.87,0.87,stress
88,0.48,37.3,-0.02,0.05,-0.07,0.84,0.75,stress
95,0.42,37.1,-0.07,0.05,-0.05,0.9,0.71,stress
72,0.74,36.9,-0.05,-0.1,-0.1,0.88,0.73,stress
91,0.31,36.4,0.07,-0.07,0.02,0.86,0.84,no_stress
118,0.47,37.4,-0.01,0.03,0.07,0.77,0.89,stress
87,0.59,36.1,0.01,-0.07,0.01,0.7,0.94,stress
125,0.66,36.2,-0.06,-0.05,-0.06,0.75,0.7,stress
101,0.42,36.6,-0.04,0.09,-0.09,0.74,0.83,stress
104,0.69,36.2,-0.05,0.01,-0.06,0.83,0.82,stress
121,0.64,37.4,-0.06,0.05,-0.02,0.88,0.86,stress
116,0.15,37.2,0.03,0.01,0.05,0.76,0.84,stress
65,0.13,36.4,-0.05,0.01,-0.06,0.98,0.87,stress
87,0.53,36.9,0.03,-0.08,0.04,0.7,0.86,stress
87,0.34,37.5,-0.09,-0.03,0.07,0.93,0.73,stress
103,0.25,37.3,-0.07,-0.04,-0.01,0.89,0.9,stress
89,0.51,36.9,-0.05,-0.02,0.06,0.81,0.73,stress
121,0.34,37.4,0.02,0.06,0.01,0.72,0.87,stress
121,0.48,37.5,0.04,-0.03,0.03,0.89,0.8,stress
60,0.42,37.1,-0.01,-0.01,0.01,0.82,0.83,no_stress
86,0.51,36.1,-0.01,-0.02,-0.01,0.98,0.93,stress
121,0.38,36.6,0.04,-0.08,-0.05,0.86,0.92,stress
62,0.59,37.3,-0.1,-0.01,-0.04,0.98,0.9,stress
129,0.23,36.3,-0.03,-0.06,-0.04,0.77,0.83,stress
86,0.59,37.2,0.06,-0.06,0.01,0.92,0.88,stress
68,0.39,36.2,0.02,-0.08,-0.08,0.89,0.83,no_stress
121,0.71,36.1,-0.03,-0.03,0.08,0.92,0.92,stress
96,0.46,36.6,0.08,0.05,0.04,0.76,0.8,no_stress
110,0.78,36.1,0.05,-0.04,-0.02,0.9,0.94,stress
103,0.52,37.4,-0.05,-0.04,-0.07,0.85,0.93,stress
83,0.26,37.2,0.03,0.03,0.08,0.92,0.89,no_stress
118,0.68,37.2,0.02,-0.06,0.06,0.8,0.77,stress
91,0.34,36.9,-0.02,0.08,0.04,0.97,0.73,stress
111,0.34,36.3,-0.03,0.0,-0.05,0.73,0.91,stress
121,0.12,36.8,-0.03,-0.01,-0.02,0.94,0.74,stress
117,0.48,36.9,0.02,0.01,-0.08,0.96,0.91,stress
111,0.47,36.8,-0.01,-0.07,-0.06,0.95,0.82,stress
71,0.35,36.4,0.07,0.02,0.06,0.85,0.8,no_stress
98,0.73,36.8,0.03,-0.03,0.04,0.83,0.93,stress
61,0.19,36.7,-0.09,0.08,0.02,1.0,0.85,stress
62,0.33,37.5,0.03,-0.07,0.08,0.77,0.84,stress
115,0.33,37.3,-0.05,0.0,0.02,0.86,0.84,stress
118,0.16,36.7,0.02,0.02,-0.01,0.9,0.79,stress
61,0.44,36.9,0.04,-0.09,-0.03,0.91,0.9,stress
61,0.58,37.1,-0.05,-0.03,0.09,0.76,0.76,stress
113,0.46,36.1,-0.01,0.05,-0.08,0.9,0.93,stress
60,0.21,37.3,-0.06,0.06,0.09,0.95,0.92,stress
78,0.36,37.3,-0.09,-0.04,0.07,0.72,0.78,stress
61,0.1,36.7,-0.02,0.06,-0.07,0.97,0.88,stress
112,0.71,36.6,-0.03,0.09,0.01,0.71,0.84,stress
103,0.16,36.4,0.1,0.07,0.07,0.81,0.78,stress
91,0.52,36.7,-0.01,-0.08,0.01,0.7,0.95,stress
129,0.79,36.1,-0.03,0.05,0.08,0.72,0.71,stress
91,0.48,37.3,0.02,-0.04,0.09,0.97,0.76,stress
127,0.75,36.1,-0.08,0.1,-0.02,0.81,0.83,stress
114,0.27,36.5,0.09,-0.0,-0.02,0.83,0.83,stress
115,0.63,37.4,0.03,-0.08,0.09,0.76,0.85,stress
76,0.47,37.1,0.05,0.05,0.04,0.88,0.89,no_stress
97,0.6,36.4,-0.07,-0.04,-0.08,0.88,0.86,stress
83,0.14,36.4,-0.02,0.1,-0.09,0.81,0.85,stress
128,0.2,36.0,-0.02,0.1,0.01,0.8,0.71,stress
129,0.19,37.0,0.06,0.03,0.09,0.97,0.79,stress
70,0.58,36.1,-0.1,-0.07,0.07,0.81,0.76,stress
75,0.69,36.8,-0.04,0.04,0.04,0.85,0.77,stress
118,0.62,37.4,0.1,-0.08,-0.07,0.78,0.84,stress
129,0.12,36.2,-0.01,-0.09,-0.05,0.94,0.75,stress
62,0.71,37.3,-0.02,0.06,0.08,0.82,0.77,stress
79,0.35,37.5,-0.08,-0.06,-0.06,0.85,0.76,stress
118,0.38,36.1,0.09,-0.02,-0.04,0.78,0.94,stress
95,0.17,37.3,-0.1,0.09,-0.07,1.0,0.94,stress
78,0.62,36.8,0.05,-0.03,0.04,0.79,0.85,stress
126,0.23,37.4,0.05,-0.04,0.09,0.93,0.93,stress
78,0.49,36.9,-0.05,0.08,-0.05,0.83,0.9,no_stress
79,0.69,37.0,0.03,-0.08,-0.0,0.76,0.85,stress
111,0.16,36.8,-0.08,0.05,0.03,0.94,0.7,stress
92,0.47,37.3,-0.05,0.1,0.1,0.8,0.89,stress
99,0.26,37.1,0.06,0.08,-0.08,0.96,0.88,stress
98,0.34,36.8,0.07,0.03,-0.0,0.97,0.85,stress
60,0.43,37.3,0.02,-0.04,-0.02,0.96,0.89,stress
70,0.35,36.4,0.0,-0.05,0.07,0.71,0.83,no_stress
116,0.55,36.2,-0.07,0.06,-0.0,0.94,0.88,stress
109,0.44,36.2,-0.09,0.08,-0.08,0.82,0.93,stress
82,0.51,36.5,-0.08,0.01,0.03,0.96,0.79,stress
90,0.62,36.4,-0.05,-0.05,0.05,0.89,0.88,stress
101,0.49,37.4,-0.03,-0.08,-0.1,0.95,0.82,stress
66,0.51,36.2,-0.02,-0.08,0.07,0.85,0.87,stress
75,0.5,37.0,-0.03,0.04,-0.06,0.86,0.89,no_stress
119,0.37,36.3,-0.05,-0.02,0.01,0.74,0.71,stress
61,0.34,37.3,0.0,0.08,-0.02,0.94,0.86,stress
60,0.73,37.4,0.07,0.05,0.04,0.83,0.76,stress
107,0.53,36.7,-0.04,-0.06,-0.03,0.85,0.87,stress
71,0.27,37.3,0.09,0.02,0.07,0.94,0.82,stress
128,0.45,36.0,0.07,-0.01,0.05,0.88,0.89,stress
96,0.33,37.2,-0.07,0.02,0.03,0.76,0.73,stress
91,0.75,36.3,0.06,0.05,0.06,0.88,0.86,stress
68,0.11,37.4,0.01,0.06,0.05,0.82,0.77,stress
78,0.26,36.0,0.01,0.07,-0.09,0.84,0.91,stress
107,0.36,36.8,-0.02,-0.05,-0.02,0.71,0.93,stress
62,0.44,37.1,0.0,-0.09,0.09,0.76,0.95,stress
79,0.7,36.4,-0.02,0.05,-0.07,0.78,0.9,stress
83,0.16,36.3,0.01,-0.08,0.05,0.91,0.89,no_stress
113,0.66,36.1,0.03,-0.04,0.09,0.7,0.75,stress
92,0.14,36.5,0.03,-0.1,-0.09,0.82,0.78,stress
83,0.69,36.8,0.01,0.04,0.04,0.98,0.82,stress
95,0.14,36.2,0.04,-0.07,-0.01,0.73,0.89,no_stress
97,0.11,36.6,-0.07,0.03,0.02,0.85,0.93,no_stress
84,0.59,36.0,-0.06,0.1,-0.08,0.94,0.75,stress
77,0.8,37.2,0.06,-0.09,-0.09,0.98,0.93,stress
125,0.73,36.2,-0.04,-0.08,0.03,0.92,0.87,stress
113,0.5,36.4,-0.1,-0.03,0.06,0.92,0.85,stress
94,0.74,36.0,-0.07,0.07,0.06,0.95,0.75,stress
120,0.1,36.6,-0.06,-0.06,0.01,0.83,0.71,stress
100,0.78,37.3,0.09,-0.03,-0.08,0.94,0.84,stress
92,0.44,36.6,0.01,-0.09,0.04,0.7,0.86,stress
127,0.61,36.3,0.09,0.05,-0.05,0.98,0.75,stress
92,0.67,37.1,0.02,-0.02,0.08,0.83,0.84,stress
73,0.6,37.2,-0.0,0.05,0.07,0.87,0.91,stress
80,0.47,36.3,-0.04,0.08,0.04,0.78,0.91,no_stress
107,0.43,37.2,0.02,-0.05,0.09,0.92,0.93,stress
79,0.69,37.4,-0.07,0.06,-0.09,0.72,0.79,stress
67,0.24,36.2,0.08,-0.09,0.05,0.96,0.78,stress
66,0.78,37.2,0.07,0.08,-0.03,0.95,0.89,stress
126,0.6,37.1,-0.04,0.03,0.08,0.76,0.81,stress
76,0.24,36.7,0.09,0.07,-0.05,0.94,0.72,stress
92,0.62,36.1,0.07,-0.1,0.04,0.94,0.77,stress
107,0.47,36.1,0.03,-0.07,0.08,0.89,0.8,stress
118,0.6,37.3,-0.08,-0.02,-0.09,0.81,0.77,stress
81,0.64,37.5,-0.0,-0.02,-0.02,0.78,0.78,stress
89,0.16,37.0,0.0,-0.05,0.05,0.77,0.77,no_stress
97,0.45,36.7,-0.05,-0.02,-0.01,0.8,0.71,stress
110,0.75,37.0,-0.08,-0.07,-0.05,0.97,0.86,stress
113,0.32,36.9,0.06,-0.02,-0.06,0.72,0.85,stress
67,0.52,36.6,-0.08,0.06,-0.07,0.95,0.86,stress
86,0.36,36.1,0.02,-0.0,0.07,0.8,0.75,no_stress
86,0.42,37.2,0.09,-0.1,0.02,0.86,0.77,stress
80,0.48,36.6,0.08,-0.02,-0.08,0.94,0.85,no_stress
89,0.48,37.2,-0.04,-0.09,-0.02,0.97,0.85,stress
87,0.24,36.4,0.07,0.09,-0.03,0.8,0.83,stress
123,0.58,36.0,-0.1,-0.07,-0.06,0.84,0.79,stress
128,0.16,36.2,-0.1,0.04,-0.01,0.82,0.93,stress
120,0.2,36.7,0.02,0.09,-0.03,0.7,0.78,stress
107,0.1,37.4,-0.03,0.07,-0.03,0.79,0.81,stress
78,0.18,36.2,-0.02,0.04,0.05,0.84,0.87,no_stress
63,0.43,37.3,0.01,0.07,-0.06,0.82,0.84,stress
94,0.52,36.8,-0.06,0.1,0.03,0.92,0.79,stress
123,0.66,37.2,-0.06,0.02,0.01,0.82,0.81,stress
108,0.17,36.4,-0.0,0.01,0.01,0.85,0.9,stress
76,0.7,37.3,0.05,0.03,0.03,0.83,0.77,stress
103,0.62,37.2,0.02,0.01,0.01,0.92,0.74,stress
89,0.39,36.3,-0.04,0.03,0.08,0.96,0.78,stress
105,0.75,36.2,-0.01,-0.01,0.04,0.86,0.91,stress
65,0.79,37.3,-0.07,-0.06,0.01,0.94,0.72,stress
96,0.24,37.4,-0.09,-0.08,0.07,0.79,0.95,stress
83,0.37,36.0,0.06,-0.09,0.02,0.86,0.84,stress
105,0.75,37.1,-0.05,-0.05,-0.04,0.8,0.95,stress
112,0.61,37.4,-0.06,-0.09,-0.06,0.82,0.93,stress
119,0.13,37.3,0.04,0.01,-0.07,0.92,0.81,stress
122,0.65,37.4,0.02,-0.04,0.08,0.96,0.75,stress
91,0.68,37.1,0.03,0.06,0.04,0.74,0.74,stress
92,0.63,36.7,-0.05,-0.09,0.09,0.89,0.76,stress
126,0.66,36.5,-0.05,-0.05,0.02,0.87,0.88,stress
77,0.68,36.5,-0.06,0.05,-0.01,0.74,0.77,stress
84,0.23,37.1,-0.07,0.02,-0.09,0.76,0.79,stress
113,0.26,37.1,0.03,-0.09,0.03,0.79,0.81,stress
117,0.54,36.3,0.07,0.08,0.02,0.75,0.93,stress
126,0.74,37.3,0.04,0.08,0.1,0.77,0.75,stress
105,0.32,37.1,0.06,-0.03,-0.05,0.78,0.7,stress
83,0.51,36.8,-0.02,-0.03,0.01,0.8,0.72,stress
91,0.58,36.7,0.03,0.1,0.03,0.92,0.93,stress
106,0.42,36.8,-0.03,0.03,0.03,0.87,0.86,stress
82,0.6,36.2,0.01,0.01,0.01,1.0,0.77,stress
125,0.73,36.3,-0.0,0.07,0.06,0.82,0.74,stress
86,0.54,36.1,-0.06,-0.04,-0.06,0.93,0.77,stress
61,0.48,36.2,-0.02,-0.01,0.05,0.96,0.73,stress
76,0.41,36.7,0.09,-0.05,0.02,0.9,0.94,stress
92,0.5,36.8,-0.05,0.06,0.08,0.82,0.9,no_stress
68,0.35,36.0,-0.07,0.01,0.07,0.93,0.82,no_stress
102,0.37,37.2,-0.02,0.03,-0.04,0.76,0.92,stress
107,0.47,36.4,0.06,-0.05,-0.04,0.8,0.76,stress
98,0.15,37.4,0.02,-0.06,0.1,0.86,0.88,stress
101,0.26,37.5,0.04,-0.0,0.01,0.87,0.91,stress
85,0.48,36.3,-0.06,0.05,0.08,0.71,0.79,no_stress
109,0.4,36.7,0.02,0.01,-0.07,0.98,0.89,stress
84,0.33,36.0,-0.04,-0.09,0.03,0.91,0.77,stress
83,0.61,36.9,0.07,0.07,0.06,0.85,0.77,stress
72,0.59,36.9,0.03,-0.09,0.09,0.98,0.73,stress
119,0.22,36.4,-0.06,0.09,-0.03,0.83,0.81,stress
66,0.72,36.8,-0.09,-0.09,0.04,0.99,0.88,stress
116,0.45,36.3,-0.09,0.04,0.01,0.85,0.94,stress
95,0.62,36.2,-0.03,-0.08,-0.09,0.73,0.85,stress
104,0.5,37.0,-0.05,0.08,0.04,0.93,0.92,stress
79,0.8,36.5,0.03,-0.01,0.04,0.9,0.91,stress
124,0.63,36.9,-0.0,-0.07,0.09,0.93,0.74,stress
67,0.59,36.6,-0.05,-0.03,-0.0,0.99,0.82,stress
75,0.65,37.5,-0.07,-0.07,-0.05,0.93,0.73,stress
73,0.2,36.2,-0.07,-0.07,-0.09,0.88,0.87,stress
74,0.24,36.7,0.07,0.09,-0.02,0.96,0.94,stress
125,0.6,37.0,-0.05,-0.01,-0.04,0.9,0.73,stress
91,0.45,36.6,0.03,0.06,0.05,0.82,0.88,no_stress
122,0.63,37.5,0.06,0.03,-0.03,0.97,0.86,stress
110,0.17,37.1,0.02,0.04,0.09,0.77,0.85,stress
84,0.48,37.0,0.07,-0.07,0.09,0.91,0.8,stress
117,0.37,37.1,-0.02,-0.05,0.02,0.96,0.79,stress
122,0.42,37.4,0.09,0.06,0.09,0.92,0.71,stress
121,0.52,37.4,-0.07,0.09,0.05,0.91,0.75,stress
81,0.45,37.1,-0.08,-0.05,0.01,0.93,0.7,stress
117,0.48,37.1,0.03,-0.05,-0.06,0.84,0.85,stress
117,0.44,36.2,0.09,-0.01,-0.01,0.96,0.73,stress
108,0.39,36.2,0.06,0.1,0.01,0.76,0.92,stress
111,0.64,36.9,-0.08,-0.05,0.07,0.74,0.83,stress
101,0.11,36.0,-0.04,-0.02,-0.0,0.79,0.87,stress
129,0.52,36.7,0.09,0.08,0.08,0.86,0.8,stress
74,0.5,36.3,-0.05,-0.1,0.03,0.85,0.84,stress
113,0.6,36.5,0.06,-0.09,-0.07,0.95,0.94,stress
119,0.52,37.2,0.07,0.02,0.1,0.82,0.72,stress
67,0.68,37.4,-0.0,0.08,0.01,0.85,0.76,stress
112,0.77,36.1,-0.02,-0.05,-0.02,0.7,0.89,stress
119,0.34,36.8,-0.01,-0.01,0.03,0.82,0.72,stress
64,0.26,37.3,-0.05,-0.01,-0.08,0.89,0.72,stress
127,0.4,36.1,0.08,-0.01,0.03,0.7,0.79,stress
65,0.3,37.2,-0.01,0.02,-0.0,0.78,0.72,stress
106,0.53,36.5,0.08,-0.01,-0.02,0.76,0.85,stress
114,0.74,36.5,-0.08,-0.01,0.09,0.71,0.76,stress
99,0.2,37.5,0.1,-0.01,0.0,0.84,0.92,stress
111,0.17,36.3,-0.01,0.02,-0.06,0.75,0.9,stress
75,0.28,37.0,-0.09,0.01,-0.01,0.92,0.87,stress
72,0.61,37.2,-0.09,0.07,0.08,0.95,0.85,stress
89,0.52,36.1,0.05,-0.09,-0.06,0.86,0.92,stress
78,0.17,37.0,0.03,0.07,-0.06,0.99,0.76,stress
76,0.74,37.4,0.06,0.07,-0.1,0.84,0.92,stress
122,0.65,36.2,-0.08,-0.04,-0.1,0.85,0.9,stress
78,0.12,37.3,-0.09,-0.01,0.07,1.0,0.89,stress
117,0.56,36.9,0.0,-0.01,0.05,0.77,0.84,stress
114,0.64,36.9,-0.02,-0.06,-0.03,0.98,0.76,stress
121,0.36,36.9,-0.01,-0.02,0.04,0.71,0.81,stress
82,0.15,36.4,0.1,-0.09,-0.02,0.83,0.9,stress
68,0.15,37.4,0.09,-0.04,0.09,0.72,0.71,stress
71,0.17,37.4,0.09,0.06,0.09,0.92,0.9,stress
60,0.69,36.9,0.06,-0.04,-0.02,0.88,0.76,stress
117,0.74,37.2,-0.03,0.06,0.07,0.91,0.74,stress
60,0.19,36.9,-0.02,0.01,0.05,0.81,0.73,stress
93,0.27,36.7,0.01,0.08,-0.04,0.81,0.71,stress
107,0.22,37.0,0.07,0.01,-0.05,0.71,0.83,stress
60,0.23,36.8,-0.09,-0.09,-0.01,0.8,0.75,stress
75,0.69,36.9,-0.02,0.04,0.06,0.98,0.95,stress
120,0.33,37.2,-0.08,-0.09,0.09,0.81,0.84,stress
123,0.32,36.7,0.0,-0.01,0.05,0.95,0.73,stress
122,0.26,36.1,0.08,0.09,0.07,0.95,0.87,stress
128,0.53,36.2,0.06,-0.07,0.02,0.81,0.92,stress
81,0.37,36.7,-0.05,-0.02,0.07,0.89,0.89,no_stress
126,0.62,37.1,0.1,0.05,0.06,0.73,0.72,stress
85,0.24,36.9,0.03,0.08,-0.02,0.73,0.92,no_stress
75,0.65,37.0,-0.1,0.03,0.01,0.71,0.9,stress
110,0.52,36.7,-0.05,-0.05,0.06,0.87,0.74,stress
116,0.18,36.9,-0.05,0.03,-0.09,0.83,0.71,stress
88,0.39,36.5,-0.09,-0.04,0.06,0.86,0.84,stress
128,0.7,36.7,0.09,0.04,-0.06,0.86,0.74,stress
106,0.75,37.1,-0.0,0.09,0.0,0.81,0.91,stress
121,0.43,37.3,0.08,0.04,0.06,0.9,0.79,stress
128,0.44,36.7,-0.04,0.07,-0.05,0.93,0.93,stress
75,0.74,36.1,-0.07,-0.1,-0.05,0.7,0.84,stress
107,0.51,36.2,-0.01,0.04,-0.02,0.76,0.75,stress
98,0.12,36.0,-0.08,0.07,0.08,0.91,0.73,stress
92,0.74,37.0,-0.0,-0.09,-0.1,0.82,0.84,stress
82,0.27,36.5,0.08,0.07,0.08,0.9,0.89,no_stress
69,0.5,36.8,0.0,-0.05,-0.07,0.8,0.9,no_stress
128,0.22,36.7,0.02,0.03,0.1,0.82,0.77,stress
93,0.12,36.1,-0.07,0.06,0.09,0.75,0.75,stress
111,0.32,36.6,-0.09,0.03,-0.0,0.78,0.7,stress
69,0.65,36.3,-0.08,-0.08,0.0,0.88,0.87,stress
78,0.29,36.6,0.02,0.02,-0.0,0.83,0.72,stress
117,0.25,36.3,-0.08,0.01,0.03,0.93,0.81,stress
60,0.25,37.3,-0.02,0.08,-0.08,0.96,0.85,stress
128,0.46,36.3,0.01,-0.02,-0.09,0.86,0.93,stress
63,0.78,37.4,-0.02,-0.04,-0.09,0.93,0.78,stress
75,0.42,36.6,-0.07,0.05,-0.01,0.79,0.76,no_stress
83,0.49,37.3,-0.05,-0.02,-0.04,0.82,0.86,stress
61,0.7,36.9,0.09,0.03,0.02,0.91,0.85,stress
91,0.47,37.1,0.04,0.03,0.1,0.82,0.78,stress
83,0.23,37.2,-0.0,0.08,-0.02,0.88,0.93,no_stress
71,0.31,36.8,-0.1,0.02,0.01,0.76,0.91,stress
109,0.32,36.8,0.1,0.0,-0.02,0.88,0.76,stress
94,0.38,36.8,0.03,-0.07,0.07,0.96,0.76,stress
92,0.4,36.9,-0.04,-0.08,0.08,0.96,0.83,stress
92,0.66,36.0,0.08,-0.07,0.08,0.92,0.89,stress
120,0.34,36.6,-0.05,-0.07,0.09,0.92,0.71,stress
110,0.43,36.9,0.01,0.03,-0.09,0.87,0.87,stress
102,0.54,36.9,0.03,0.05,0.07,0.88,0.86,stress
71,0.36,37.2,-0.06,0.01,0.05,0.74,0.76,no_stress
